,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,item,condition,sentence,target,alternative,lstmaugment 0 correct (max),lstmaugment 0 correct (sample),lstmaugment 0 target score,lstmaugment 0 alternative score,lstmaugment 1 correct (max),lstmaugment 1 correct (sample),lstmaugment 1 target score,lstmaugment 1 alternative score,lstmaugment 2 correct (max),lstmaugment 2 correct (sample),lstmaugment 2 target score,lstmaugment 2 alternative score,lstmaugment 3 correct (max),lstmaugment 3 correct (sample),lstmaugment 3 target score,lstmaugment 3 alternative score,lstmaugment 4 correct (max),lstmaugment 4 correct (sample),lstmaugment 4 target score,lstmaugment 4 alternative score,lstmlmaug 0 correct (max),lstmlmaug 0 correct (sample),lstmlmaug 0 target score,lstmlmaug 0 alternative score,lstmlmaug 1 correct (max),lstmlmaug 1 correct (sample),lstmlmaug 1 target score,lstmlmaug 1 alternative score,lstmlmaug 2 correct (max),lstmlmaug 2 correct (sample),lstmlmaug 2 target score,lstmlmaug 2 alternative score,lstmlmaug 3 correct (max),lstmlmaug 3 correct (sample),lstmlmaug 3 target score,lstmlmaug 3 alternative score,lstmlmaug 4 correct (max),lstmlmaug 4 correct (sample),lstmlmaug 4 target score,lstmlmaug 4 alternative score,lstmwiki_lm 0 correct (max),lstmwiki_lm 0 correct (sample),lstmwiki_lm 0 target score,lstmwiki_lm 0 alternative score,lstmwiki_lm 1 correct (max),lstmwiki_lm 1 correct (sample),lstmwiki_lm 1 target score,lstmwiki_lm 1 alternative score,lstmwiki_lm 2 correct (max),lstmwiki_lm 2 correct (sample),lstmwiki_lm 2 target score,lstmwiki_lm 2 alternative score,lstmwiki_lm 3 correct (max),lstmwiki_lm 3 correct (sample),lstmwiki_lm 3 target score,lstmwiki_lm 3 alternative score,lstmwiki_lm 4 correct (max),lstmwiki_lm 4 correct (sample),lstmwiki_lm 4 target score,lstmwiki_lm 4 alternative score,gpt2 correct (max),gpt2 correct (sample),gpt2 target score,gpt2 alternative score,lstmaugment_tied 0 correct (max),lstmaugment_tied 0 correct (sample),lstmaugment_tied 0 target score,lstmaugment_tied 0 alternative score,lstmaugment_tied 1 correct (max),lstmaugment_tied 1 correct (sample),lstmaugment_tied 1 target score,lstmaugment_tied 1 alternative score,lstmaugment_tied 2 correct (max),lstmaugment_tied 2 correct (sample),lstmaugment_tied 2 target score,lstmaugment_tied 2 alternative score,lstmaugment_tied 3 correct (max),lstmaugment_tied 3 correct (sample),lstmaugment_tied 3 target score,lstmaugment_tied 3 alternative score,lstmlmonly 0 plural score,lstmlmonly 0 singular score,lstmlmonly 1 plural score,lstmlmonly 1 singular score,lstmlmonly 2 plural score,lstmlmonly 2 singular score,lstmlmonly 3 plural score,lstmlmonly 3 singular score,lstmlmonly 4 plural score,lstmlmonly 4 singular score
0,0,0,0,0,0,0,0,0,0,0,0,0,Bock1992_0_ss_prop,ss_prop,The demo tape from the popular rock singer,is,are,100,89.63725323457264,-7.664889335632324,-9.822443008422852,100,91.10495312396776,-7.826610088348389,-10.153127670288086,100,86.84643147399099,-5.4292497634887695,-7.31669807434082,100,74.14929879749536,-7.5226311683654785,-8.576374053955078,100,79.18070794297594,-7.491586685180664,-8.827439308166504,100,80.32829253584211,-8.059571266174316,-9.466511726379396,100,93.17091566823306,-7.296314239501953,-9.90955924987793,100,85.25261885695723,-7.365493297576904,-9.120046615600586,100,78.07899212053727,-7.530294895172119,-8.800570487976074,100,93.19688618023451,-7.767624378204346,-10.384958267211914,100,81.7917727678084,-7.377886772155762,-8.880189895629883,100,87.14011922994237,-7.037262439727783,-8.950667381286621,100,89.40455699179134,-7.873503684997559,-10.006251335144045,100,84.51981112314466,-8.42535400390625,-10.12277889251709,100,91.25387409913483,-7.460298538208008,-9.805333137512209,100,99.51117328516264,-3.411029815673828,-8.727046966552734,100,85.89460719420549,-5.888992786407471,-7.695556640625,100,93.21031238868594,-7.51837158203125,-10.137825012207031,100,91.47588807641354,-7.430242538452148,-9.80341911315918,100,84.08913329436518,-7.395605087280273,-9.060480117797852,0.500347244500028,0.49965275549997196,0.5001464487126295,0.4998535512873707,0.5007273547346885,0.4992726452653115,0.5009979178551818,0.49900208214481817,0.5007681157767,0.49923188422330006
1,1,1,1,1,1,1,1,1,1,1,1,1,Bock1992_0_ss_rc,ss_rc,The demo tape that promoted the rock singer,is,are,100,95.54651826553835,-6.232410907745361,-9.298337936401367,100,90.60878150858548,-7.572707176208496,-9.839483261108398,100,92.51025923044432,-6.048554420471191,-8.562339782714844,100,96.33223805646756,-6.648091793060303,-9.91631317138672,100,93.64445146891656,-6.906084060668945,-9.596261024475098,100,83.42955097643168,-7.837318420410156,-9.453700065612791,100,90.03890005825134,-7.542329788208008,-9.743884086608888,100,93.92839482881452,-8.376344680786133,-11.115254402160645,100,84.6604277361382,-7.540513515472412,-9.24872589111328,100,96.21311040915704,-8.418390274047852,-11.65341091156006,100,87.93045440851436,-8.380550384521484,-10.366411209106444,100,90.31258790920052,-7.669171333312988,-9.901620864868164,100,86.24759047312472,-8.507009506225586,-10.343017578125,100,90.66961323760198,-7.763653755187988,-10.037599563598633,100,91.63379302341352,-8.342647552490234,-10.736247062683104,100,99.50496611623014,-3.595517635345459,-8.89885425567627,100,83.93755577725643,-8.668041229248047,-10.321630477905272,100,96.5107906790729,-7.758236885070801,-11.078216552734377,100,94.20552123760945,-8.566877365112305,-11.355450630187988,100,72.61007376292127,-7.029260158538818,-8.004188537597656,0.5012469592235945,0.4987530407764054,0.5007007239901268,0.4992992760098731,0.5009220557750075,0.4990779442249924,0.5012606090621593,0.49873939093784075,0.501202158647241,0.4987978413527589
2,2,2,2,2,2,2,2,2,2,2,2,2,Bock1992_0_sp_prop,sp_prop,The demo tape from the popular rock singers,is,are,0,26.84272222826819,-7.522281169891357,-6.519664287567139,0,16.591026628966027,-8.621282577514648,-7.0063886642456055,0,21.722520339730544,-5.787492275238037,-4.505581855773926,0,25.961844159355685,-7.0950927734375,-6.047140121459961,0,30.450580734255027,-7.038878440856934,-6.212945938110352,100,62.75949928416227,-7.225809574127197,-7.747722625732422,0,15.522160369947342,-8.836468696594238,-7.142248153686523,0,34.10774597974833,-7.625680446624756,-6.967184066772461,0,41.11906417596271,-7.244236946105957,-6.885191440582275,0,31.218403574225096,-7.4280219078063965,-6.6380934715271,0,34.06445342464314,-7.034981727600098,-6.374558448791504,0,29.924076005208377,-7.5252814292907715,-6.674365520477295,0,28.267222965827493,-8.56048583984375,-7.629240989685059,0,21.381529884324536,-8.363283157348633,-7.061203956604004,100,53.9406182696873,-7.518926620483398,-7.676878929138184,100,88.27788311802075,-3.822087526321411,-5.841099739074707,100,66.28199120456932,-5.24299430847168,-5.918880462646484,0,28.363661911008432,-7.098564624786377,-6.1720709800720215,0,40.13523009029964,-6.382455348968506,-5.982621669769287,0,24.18837020319385,-6.435407161712647,-5.293027400970459,0.5008245250266481,0.49917547497335196,0.5015691555467624,0.4984308444532377,0.5042398435692758,0.49576015643072413,0.5017019764643001,0.49829802353569985,0.5027556916085394,0.4972443083914607
3,3,3,3,3,3,3,3,3,3,3,3,3,Bock1992_0_sp_rc,sp_rc,The demo tape that promoted the rock singers,is,are,0,16.152582108487234,-7.511818408966064,-5.864899635314941,0,21.476659732058124,-8.043682098388672,-6.747252941131592,0,9.127316346628016,-6.614481925964356,-4.316294193267822,100,63.21677392606016,-6.587811470031738,-7.129339218139648,0,15.361518829234935,-8.63365364074707,-6.927130222320557,0,42.91354384748063,-8.876019477844238,-8.5906400680542,0,13.365510392633716,-10.435853958129885,-8.56683349609375,0,45.59701885608369,-9.20363426208496,-9.027057647705078,0,22.541095436470187,-9.315034866333008,-8.08062744140625,0,24.97378573462282,-9.867541313171388,-8.76753044128418,0,14.875611922796702,-9.966822624206545,-8.222432136535645,0,31.671279019701164,-9.581751823425291,-8.81283187866211,0,10.758626855987798,-10.43413543701172,-8.318498611450195,0,19.227587470870485,-8.905380249023438,-7.470090866088867,0,28.94511282197728,-9.978437423706056,-9.0803861618042,100,95.72078554548712,-3.253157615661621,-6.360823631286621,0,29.998682254469365,-9.29783821105957,-8.450477600097656,100,51.5955036210145,-7.644844055175781,-7.708685874938965,0,41.33386204540773,-8.601252555847168,-8.25107192993164,0,21.1333201231268,-6.512153148651123,-5.195245265960693,0.5022695873594785,0.49773041264052165,0.501546360097251,0.4984536399027492,0.5012995590684696,0.49870044093153043,0.5021169126244639,0.49788308737553594,0.5021965846979864,0.4978034153020135
4,4,4,4,4,4,4,4,4,4,4,4,4,Bock1992_0_ps_prop,ps_prop,The demo tapes from the popular rock singer,are,is,100,50.67234754764736,-8.533740043640137,-8.560635566711426,0,18.540285767712163,-9.20697784423828,-7.726815223693848,100,75.14761444409673,-5.482873916625977,-6.589374542236328,100,62.09267221094663,-7.452670097351074,-7.94615364074707,100,57.07740277509393,-7.988663196563721,-8.273673057556152,100,69.72837142483259,-8.117759704589844,-8.952156066894531,0,29.91257833905693,-8.274450302124023,-7.422986030578613,0,49.788273646346376,-7.82270622253418,-7.814237117767334,0,39.26039015971955,-8.019630432128906,-7.583250522613525,0,16.91899464589853,-9.185991287231444,-7.594612121582031,100,83.53291939610608,-7.7045698165893555,-9.328447341918944,0,30.71423429712944,-8.554734230041504,-7.741220951080322,0,24.03365931439051,-9.434755325317385,-8.283920288085938,0,35.876322079152764,-9.49190902709961,-8.911172866821289,0,31.274960437972844,-8.664074897766113,-7.876779079437256,100,95.77279488914895,-3.5072946548461914,-6.627732276916504,100,50.62214501301416,-6.153005123138428,-6.177892208099365,0,35.31329583725989,-8.841246604919434,-8.235950469970703,0,43.56374908402734,-7.883017063140869,-7.624130725860596,100,63.334714962196735,-8.098593711853027,-8.645196914672852,0.5006871244664342,0.49931287553356585,0.5003334370676026,0.4996665629323973,0.501163415274178,0.49883658472582215,0.5012548647163121,0.4987451352836879,0.5009156703533738,0.4990843296466262
5,5,5,5,5,5,5,5,5,5,5,5,5,Bock1992_0_ps_rc,ps_rc,The demo tapes that promoted the rock singer,are,is,0,6.325594670013743,-9.60048484802246,-6.905263900756836,0,8.850304646041904,-10.532499313354492,-8.200448036193848,0,33.32603278411924,-7.109634399414063,-6.416158676147461,0,12.356068488368626,-10.121922492980955,-8.162787437438965,0,28.11232667904095,-8.159689903259277,-7.2207932472229,100,71.54740866507461,-8.146164894104004,-9.068285942077637,0,34.166164884031616,-8.629356384277344,-7.973458290100098,0,24.76665455458564,-9.82211971282959,-8.711023330688477,0,23.057739277782293,-8.71357250213623,-7.508518695831299,0,16.531947467433152,-9.73445987701416,-8.115290641784668,0,35.50687531783688,-10.107671737670898,-9.510839462280272,0,21.05909063539811,-9.746591567993164,-8.425224304199219,0,26.521274545066163,-9.772790908813477,-8.753742218017578,0,28.424565787978505,-9.407658576965332,-8.484160423278809,0,33.57978045170415,-9.826412200927734,-9.14433479309082,100,91.11630541631578,-3.625708341598511,-5.953627586364746,0,44.24315777571032,-9.389374732971191,-9.158075332641602,0,16.754928318285174,-9.031991958618164,-7.428895473480225,0,46.625553945805805,-8.26711654663086,-8.131933212280273,100,63.20384439746986,-6.896711349487305,-7.43768310546875,0.5020330608867312,0.4979669391132687,0.50110435583699,0.49889564416301013,0.5012540295151344,0.49874597048486546,0.5016807932961516,0.49831920670384844,0.5014047448873937,0.4985952551126062
6,6,6,6,6,6,6,6,6,6,6,6,6,Bock1992_0_pp_prop,pp_prop,The demo tapes from the popular rock singers,are,is,100,90.4384497487234,-6.947675704956055,-9.194595336914062,100,86.96245372350477,-6.884024620056152,-8.781667709350586,100,97.15862419353704,-3.7348520755767822,-7.266908645629883,100,93.46756839789832,-5.167741775512695,-7.828577041625977,100,85.78642994226506,-5.922378063201904,-7.720041751861572,100,89.66048833207367,-6.5094523429870605,-8.669509887695312,100,97.3160501593622,-6.139599800109863,-9.730274200439451,100,84.2786082509571,-6.635130882263184,-8.314236640930176,100,77.71487713099779,-6.4616546630859375,-7.710782051086426,100,77.11111116336374,-6.09674596786499,-7.311341762542725,100,98.39035157409,-5.4410481452941895,-9.553975105285645,100,85.45542407463242,-6.578394889831543,-8.34917163848877,100,90.03853653387091,-6.979650974273682,-9.181164741516112,100,93.06715857457527,-6.882163047790527,-9.479214668273926,100,85.57070188328447,-6.3883442878723145,-8.168426513671875,100,87.04975056925997,-3.680076837539673,-5.585441589355469,100,75.20131073106174,-5.138107776641846,-6.247485637664795,100,86.6580703077107,-6.000622749328613,-7.871681213378906,100,79.23615707422859,-4.860347747802734,-6.199567317962647,100,89.26824955418479,-5.173101425170898,-7.291540622711182,0.5027498698602587,0.49725013013974134,0.5027032174497419,0.49729678255025805,0.5042846376260234,0.49571536237397656,0.502172479613027,0.4978275203869729,0.5034920284262379,0.49650797157376214
7,7,7,7,7,7,7,7,7,7,7,7,7,Bock1992_0_pp_rc,pp_rc,The demo tapes that promoted the rock singers,are,is,100,91.34455883648768,-6.087118625640869,-8.44356918334961,100,87.1747213350084,-6.858583450317383,-8.775079727172852,100,97.43753010712794,-3.950066566467285,-7.588306427001953,100,77.15945945670497,-7.265265941619873,-8.482603073120117,100,93.89082705305336,-6.871950626373291,-9.604291915893556,100,93.53541239229985,-7.848609924316406,-10.520610809326172,100,97.37834989842368,-7.759154796600342,-11.37395477294922,100,83.25588967554012,-8.666458129882812,-10.270330429077148,100,87.99132177605577,-7.589777946472168,-9.58138656616211,100,85.84836063580225,-7.638976573944092,-9.441728591918944,100,95.20569162862247,-8.337018013000488,-11.325628280639648,100,77.92370331108718,-9.197881698608398,-10.459107398986816,100,93.2008486380126,-7.993419647216797,-10.61137866973877,100,93.27437793843322,-7.742237567901611,-10.371858596801758,100,94.24728630696744,-8.706083297729492,-11.502333641052246,100,74.21911308601786,-3.686080932617188,-4.74346923828125,100,93.66541434772827,-7.148786544799805,-9.842491149902344,100,89.323817083642,-6.438607692718506,-8.562860488891602,100,85.52031914586551,-6.466594696044922,-8.242602348327637,100,96.06382448269468,-3.980462074279785,-7.175265312194824,0.5027649399019546,0.4972350600980453,0.5020240667227559,0.49797593327724426,0.5016183196323911,0.49838168036760877,0.5024699771369059,0.49753002286309406,0.5024650399138908,0.49753496008610926
8,8,8,8,8,8,8,8,8,8,8,8,8,Bock1992_1_ss_prop,ss_prop,The pamphlet from the British government agency,is,are,100,98.86032194584764,-6.461262702941895,-10.924224853515623,100,96.49367177200855,-5.313765525817871,-8.628673553466797,100,95.31795849666388,-4.655078887939453,-7.668562889099121,100,93.82216219500496,-6.429970264434815,-9.150403022766112,100,91.95032296894335,-6.600321769714356,-9.035938262939451,100,84.57392436873907,-7.73784065246582,-9.439407348632812,100,82.2538878540459,-7.04660177230835,-8.580245971679688,100,91.4699892546146,-6.511412620544434,-8.883832931518555,100,92.31789115189396,-6.796630382537842,-9.282974243164062,100,89.75056047670353,-5.864596366882324,-8.034407615661621,100,82.7833454096506,-5.546977996826172,-7.117327690124512,100,85.80585000422724,-6.834658622741699,-8.633915901184082,100,91.04002648356844,-7.205225944519043,-9.523757934570312,100,86.85747970839222,-5.756784439086914,-7.645200252532959,100,87.02328299524889,-6.499078750610352,-8.402097702026367,100,95.77026137241928,-4.451507568359375,-7.571319580078125,100,97.08550256327705,-4.439540386199951,-7.945435047149658,100,94.70307149532604,-5.898386001586914,-8.782005310058594,100,95.4826013924232,-6.1013922691345215,-9.152400016784668,100,85.54931663063013,-5.6595659255981445,-7.437917232513428,0.5000549170818992,0.4999450829181008,0.4999141353443214,0.5000858646556785,0.499901672937965,0.5000983270620349,0.499867048954709,0.5001329510452909,0.49952836331134814,0.500471636688652
9,9,9,9,9,9,9,9,9,9,9,9,9,Bock1992_1_ss_rc,ss_rc,The pamphlet that described the government agency,is,are,100,98.41654916183114,-6.624822616577148,-10.754425048828123,100,86.46952430030846,-6.49087381362915,-8.345721244812012,100,94.3287760568722,-4.069607734680176,-6.880989074707031,100,95.16880516059932,-5.435983657836914,-8.416542053222656,100,81.45225941209866,-6.689112186431885,-8.168781280517578,100,92.62336491368792,-9.075129508972168,-11.605353355407717,100,92.02725817591808,-7.650704383850098,-10.096760749816896,100,91.45474529709756,-7.754141807556152,-10.12460994720459,100,92.03711865357296,-8.929998397827148,-11.377399444580078,100,96.44425229952256,-8.849035263061523,-12.14943504333496,100,91.42605611581024,-7.409992694854736,-9.776795387268066,100,82.35653470047552,-7.506108283996582,-9.04680061340332,100,75.98017156002301,-6.777344703674316,-7.928937435150146,100,89.41849735745564,-7.936287879943848,-10.070508003234863,100,62.85969011126026,-7.067121982574463,-7.593324184417725,100,98.60588720958144,-3.508781671524048,-7.767654418945312,100,95.44124796717232,-8.116460800170898,-11.157922744750977,100,95.66193031826336,-6.961218357086182,-10.054609298706056,100,95.14928398950836,-6.808125972747803,-9.784446716308594,100,93.65740858524867,-5.74625301361084,-8.43860912322998,0.5002493015743027,0.4997506984256972,0.500498399333042,0.499501600666958,0.5002337696501,0.4997662303498999,0.5001505291911019,0.499849470808898,0.5001826594221263,0.4998173405778737
