other,VBZ,VBP,word
0.8333333333333334,0.0,0.16666666666666666,notice
0.0,1.0,0.0,settles
0.0,1.0,0.0,reacts
0.0,1.0,0.0,enjoys
0.0,0.125,0.875,ai
0.75,0.0,0.25,meet
0.0,1.0,0.0,shakes
0.95,0.05,0.0,repairs
0.8051948051948052,0.19480519480519481,0.0,measures
0.9,0.0,0.1,declare
0.0,1.0,0.0,considers
0.5,0.5,0.0,hooks
0.0,1.0,0.0,condemns
0.0,1.0,0.0,contributes
0.0,1.0,0.0,recites
0.0,1.0,0.0,alienates
0.5,0.5,0.0,counts
0.0,0.0,1.0,crave
0.7777777777777778,0.0,0.2222222222222222,score
0.0,1.0,0.0,underperforms
0.0,0.0,1.0,activate
0.8333333333333334,0.0,0.16666666666666666,blanket
0.8666666666666667,0.0,0.13333333333333333,slash
0.9,0.0,0.1,stress
0.75,0.0,0.25,learn
0.0,1.0,0.0,cancels
0.0,1.0,0.0,resurrects
0.0,1.0,0.0,hails
0.0,1.0,0.0,masks
0.0,1.0,0.0,torments
0.75,0.25,0.0,hosts
0.7333333333333333,0.0,0.26666666666666666,commit
0.0,1.0,0.0,oversees
0.5555555555555556,0.4444444444444444,0.0,doubts
0.5,0.0,0.5,depict
0.0,1.0,0.0,stirs
0.9705882352941176,0.0,0.029411764705882353,catch
0.5,0.5,0.0,logs
0.0,0.0,1.0,criss-cross
0.5,0.0,0.5,collaborate
0.6666666666666666,0.0,0.3333333333333333,rely
0.75,0.0,0.25,aggravate
0.9166666666666666,0.0,0.08333333333333333,accelerate
0.9523809523809523,0.0,0.047619047619047616,hurt
0.0,1.0,0.0,identifies
0.0,1.0,0.0,isolates
0.0,0.0,1.0,perceive
0.2857142857142857,0.0,0.7142857142857143,underscore
0.8888888888888888,0.1111111111111111,0.0,talks
0.5,0.5,0.0,alternates
0.9090909090909091,0.0,0.09090909090909091,cry
0.5,0.5,0.0,caters
0.0,1.0,0.0,descends
0.0,1.0,0.0,competes
0.0,0.0,1.0,wrack
0.0,1.0,0.0,climbs
0.916083916083916,0.08391608391608392,0.0,points
0.9473684210526315,0.0,0.05263157894736842,jump
0.0,1.0,0.0,closes
0.0,0.0,1.0,thrive
0.0,1.0,0.0,prompts
0.0,0.0,1.0,corroborate
0.0,0.0,1.0,chafe
0.6666666666666666,0.0,0.3333333333333333,ruin
0.6,0.4,0.0,totals
0.0,1.0,0.0,spins
0.5714285714285714,0.0,0.42857142857142855,arise
0.9,0.0,0.1,apply
0.8695652173913043,0.13043478260869565,0.0,targets
0.25,0.0,0.75,observe
0.8888888888888888,0.0,0.1111111111111111,shoot
0.9310344827586207,0.0,0.06896551724137931,warrant
0.5545454545454546,0.0,0.44545454545454544,appear
0.78125,0.0,0.21875,assume
0.0,1.0,0.0,restricts
0.0,1.0,0.0,discerns
0.8,0.0,0.2,liberalize
0.7272727272727273,0.0,0.2727272727272727,disappear
0.75,0.25,0.0,alarms
0.0,1.0,0.0,forbids
0.8333333333333334,0.16666666666666666,0.0,strokes
0.8,0.0,0.2,resell
0.0,1.0,0.0,develops
0.0,1.0,0.0,authorizes
0.5,0.0,0.5,clutch
0.8,0.0,0.2,map
0.8333333333333334,0.0,0.16666666666666666,outperform
