item,condition,sentence,target,alternative
Bock1992_0_ss_prop,ss_prop,The demo tape from the popular rock singer,is,are
Bock1992_0_ss_rc,ss_rc,The demo tape that promoted the rock singer,is,are
Bock1992_0_sp_prop,sp_prop,The demo tape from the popular rock singers,is,are
Bock1992_0_sp_rc,sp_rc,The demo tape that promoted the rock singers,is,are
Bock1992_0_ps_prop,ps_prop,The demo tapes from the popular rock singer,are,is
Bock1992_0_ps_rc,ps_rc,The demo tapes that promoted the rock singer,are,is
Bock1992_0_pp_prop,pp_prop,The demo tapes from the popular rock singers,are,is
Bock1992_0_pp_rc,pp_rc,The demo tapes that promoted the rock singers,are,is
Bock1992_1_ss_prop,ss_prop,The pamphlet from the British government agency,is,are
Bock1992_1_ss_rc,ss_rc,The pamphlet that described the government agency,is,are
Bock1992_1_sp_prop,sp_prop,The pamphlet from the British government agencies,is,are
Bock1992_1_sp_rc,sp_rc,The pamphlet that described the government agencies,is,are
Bock1992_1_ps_prop,ps_prop,The pamphlets from the British government agency,are,is
Bock1992_1_ps_rc,ps_rc,The pamphlets that described the government agency,are,is
Bock1992_1_pp_prop,pp_prop,The pamphlets from the British government agencies,are,is
Bock1992_1_pp_rc,pp_rc,The pamphlets that described the government agencies,are,is
Bock1992_2_ss_prop,ss_prop,The fire-eater in the carnival show,is,are
Bock1992_2_ss_rc,ss_rc,The fire-eater who enlivened the show,is,are
Bock1992_2_sp_prop,sp_prop,The fire-eater in the carnival shows,is,are
Bock1992_2_sp_rc,sp_rc,The fire-eater who enlivened the shows,is,are
Bock1992_2_ps_prop,ps_prop,The fire-eaters in the carnival show,are,is
Bock1992_2_ps_rc,ps_rc,The fire-eaters who enlivened the show,are,is
Bock1992_2_pp_prop,pp_prop,The fire-eaters in the carnival shows,are,is
Bock1992_2_pp_rc,pp_rc,The fire-eaters who enlivened the shows,are,is
Bock1992_3_ss_prop,ss_prop,The bright light in Doctor Smith 's examination room,is,are
Bock1992_3_ss_rc,ss_rc,The bright light that lit the small examination room,is,are
Bock1992_3_sp_prop,sp_prop,The bright light in Doctor Smith 's examination rooms,is,are
Bock1992_3_sp_rc,sp_rc,The bright light that lit the small examination rooms,is,are
Bock1992_3_ps_prop,ps_prop,The bright lights in Doctor Smith 's examination room,are,is
Bock1992_3_ps_rc,ps_rc,The bright lights that lit the small examination room,are,is
Bock1992_3_pp_prop,pp_prop,The bright lights in Doctor Smith 's examination rooms,are,is
Bock1992_3_pp_rc,pp_rc,The bright lights that lit the small examination rooms,are,is
Bock1992_4_ss_prop,ss_prop,The security force at the giant manufacturing plant,is,are
Bock1992_4_ss_rc,ss_rc,The security force that patrolled the manufacturing plant,is,are
Bock1992_4_sp_prop,sp_prop,The security force at the giant manufacturing plants,is,are
Bock1992_4_sp_rc,sp_rc,The security force that patrolled the manufacturing plants,is,are
Bock1992_4_ps_prop,ps_prop,The security forces at the giant manufacturing plant,are,is
Bock1992_4_ps_rc,ps_rc,The security forces that patrolled the manufacturing plant,are,is
Bock1992_4_pp_prop,pp_prop,The security forces at the giant manufacturing plants,are,is
Bock1992_4_pp_rc,pp_rc,The security forces that patrolled the manufacturing plants,are,is
Bock1992_5_ss_prop,ss_prop,The confession of the famous television preacher,is,are
Bock1992_5_ss_rc,ss_rc,The confession that involved the television preacher,is,are
Bock1992_5_sp_prop,sp_prop,The confession of the famous television preachers,is,are
Bock1992_5_sp_rc,sp_rc,The confession that involved the television preachers,is,are
Bock1992_5_ps_prop,ps_prop,The confessions of the famous television preacher,are,is
Bock1992_5_ps_rc,ps_rc,The confessions that involved the television preacher,are,is
Bock1992_5_pp_prop,pp_prop,The confessions of the famous television preachers,are,is
Bock1992_5_pp_rc,pp_rc,The confessions that involved the television preachers,are,is
Bock1992_6_ss_prop,ss_prop,The charismatic leader of the left - wing dissident group,is,are
Bock1992_6_ss_rc,ss_rc,The charismatic leader who addressed the dissident group,is,are
Bock1992_6_sp_prop,sp_prop,The charismatic leader of the left - wing dissident groups,is,are
Bock1992_6_sp_rc,sp_rc,The charismatic leader who addressed the dissident groups,is,are
Bock1992_6_ps_prop,ps_prop,The charismatic leaders of the left - wing dissident group,are,is
Bock1992_6_ps_rc,ps_rc,The charismatic leaders who addressed the dissident group,are,is
Bock1992_6_pp_prop,pp_prop,The charismatic leaders of the left - wing dissident groups,are,is
Bock1992_6_pp_rc,pp_rc,The charismatic leaders who addressed the dissident groups,are,is
Bock1992_7_ss_prop,ss_prop,The advisor for the chemistry student,is,are
Bock1992_7_ss_rc,ss_rc,The advisor who directed the student,is,are
Bock1992_7_sp_prop,sp_prop,The advisor for the chemistry students,is,are
Bock1992_7_sp_rc,sp_rc,The advisor who directed the students,is,are
Bock1992_7_ps_prop,ps_prop,The advisors for the chemistry student,are,is
Bock1992_7_ps_rc,ps_rc,The advisors who directed the student,are,is
Bock1992_7_pp_prop,pp_prop,The advisors for the chemistry students,are,is
Bock1992_7_pp_rc,pp_rc,The advisors who directed the students,are,is
Bock1992_8_ss_prop,ss_prop,The superintendent of the technical school,is,are
Bock1992_8_ss_rc,ss_rc,The superintendent who inspected the school,is,are
Bock1992_8_sp_prop,sp_prop,The superintendent of the technical schools,is,are
