,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,item,condition,sentence,target,alternative,lstmaugment 0 correct (max),lstmaugment 0 correct (sample),lstmaugment 0 target score,lstmaugment 0 alternative score,lstmaugment 1 correct (max),lstmaugment 1 correct (sample),lstmaugment 1 target score,lstmaugment 1 alternative score,lstmaugment 2 correct (max),lstmaugment 2 correct (sample),lstmaugment 2 target score,lstmaugment 2 alternative score,lstmaugment 3 correct (max),lstmaugment 3 correct (sample),lstmaugment 3 target score,lstmaugment 3 alternative score,lstmaugment 4 correct (max),lstmaugment 4 correct (sample),lstmaugment 4 target score,lstmaugment 4 alternative score,lstmlmaug 0 correct (max),lstmlmaug 0 correct (sample),lstmlmaug 0 target score,lstmlmaug 0 alternative score,lstmlmaug 1 correct (max),lstmlmaug 1 correct (sample),lstmlmaug 1 target score,lstmlmaug 1 alternative score,lstmlmaug 2 correct (max),lstmlmaug 2 correct (sample),lstmlmaug 2 target score,lstmlmaug 2 alternative score,lstmlmaug 3 correct (max),lstmlmaug 3 correct (sample),lstmlmaug 3 target score,lstmlmaug 3 alternative score,lstmlmaug 4 correct (max),lstmlmaug 4 correct (sample),lstmlmaug 4 target score,lstmlmaug 4 alternative score,lstmwiki_lm 0 correct (max),lstmwiki_lm 0 correct (sample),lstmwiki_lm 0 target score,lstmwiki_lm 0 alternative score,lstmwiki_lm 1 correct (max),lstmwiki_lm 1 correct (sample),lstmwiki_lm 1 target score,lstmwiki_lm 1 alternative score,lstmwiki_lm 2 correct (max),lstmwiki_lm 2 correct (sample),lstmwiki_lm 2 target score,lstmwiki_lm 2 alternative score,lstmwiki_lm 3 correct (max),lstmwiki_lm 3 correct (sample),lstmwiki_lm 3 target score,lstmwiki_lm 3 alternative score,lstmwiki_lm 4 correct (max),lstmwiki_lm 4 correct (sample),lstmwiki_lm 4 target score,lstmwiki_lm 4 alternative score,lstmccgjoint 0 correct (max),lstmccgjoint 0 correct (sample),lstmccgjoint 0 target score,lstmccgjoint 0 alternative score,lstmccgjoint 1 correct (max),lstmccgjoint 1 correct (sample),lstmccgjoint 1 target score,lstmccgjoint 1 alternative score,lstmccgjoint 2 correct (max),lstmccgjoint 2 correct (sample),lstmccgjoint 2 target score,lstmccgjoint 2 alternative score,lstmccgjoint 3 correct (max),lstmccgjoint 3 correct (sample),lstmccgjoint 3 target score,lstmccgjoint 3 alternative score,lstmccgjoint 4 correct (max),lstmccgjoint 4 correct (sample),lstmccgjoint 4 target score,lstmccgjoint 4 alternative score,lstmccglm 0 correct (max),lstmccglm 0 correct (sample),lstmccglm 0 target score,lstmccglm 0 alternative score,lstmccglm 1 correct (max),lstmccglm 1 correct (sample),lstmccglm 1 target score,lstmccglm 1 alternative score,lstmccglm 2 correct (max),lstmccglm 2 correct (sample),lstmccglm 2 target score,lstmccglm 2 alternative score,lstmccglm 3 correct (max),lstmccglm 3 correct (sample),lstmccglm 3 target score,lstmccglm 3 alternative score,lstmccglm 4 correct (max),lstmccglm 4 correct (sample),lstmccglm 4 target score,lstmccglm 4 alternative score,gpt2 correct (max),gpt2 correct (sample),gpt2 target score,gpt2 alternative score,lstmaugment_tied 0 correct (max),lstmaugment_tied 0 correct (sample),lstmaugment_tied 0 target score,lstmaugment_tied 0 alternative score,lstmaugment_tied 1 correct (max),lstmaugment_tied 1 correct (sample),lstmaugment_tied 1 target score,lstmaugment_tied 1 alternative score,lstmaugment_tied 2 correct (max),lstmaugment_tied 2 correct (sample),lstmaugment_tied 2 target score,lstmaugment_tied 2 alternative score,lstmaugment_tied 3 correct (max),lstmaugment_tied 3 correct (sample),lstmaugment_tied 3 target score,lstmaugment_tied 3 alternative score
0,0,0,0,0,0,0,0,0,0,0,0,0,HumphreysBock_0_CPD,CPD,The crowd inside the subway cars,are,is,0,47.01671132143465,-6.276676177978516,-6.15720272064209,0,49.34340913705683,-6.121569633483887,-6.095304489135742,100,61.41020504756896,-4.169328212738037,-4.63391637802124,0,25.833055654461656,-4.179606914520264,-3.124943256378174,100,77.81525158918167,-4.564748764038086,-5.819681167602539,100,64.85472206224543,-5.818607807159424,-6.431267261505127,100,71.9668080927572,-6.429059028625488,-7.371874809265137,100,53.90962530318127,-6.078965187072754,-6.23567008972168,100,57.35445214058239,-7.288531303405762,-7.584858894348144,100,75.79093535517757,-4.6082377433776855,-5.7494893074035645,100,71.66737043837085,-5.242340087890625,-6.170361518859863,100,78.52317139653238,-5.746084690093994,-7.042503833770752,100,52.1395484670353,-6.988444805145264,-7.074079036712647,100,77.84623667112587,-6.086757183074951,-7.343485355377197,100,82.61129802391814,-5.986597061157227,-7.544922828674316,100,68.15719775490517,-4.284515380859375,-5.045520782470703,100,82.73219202372873,-4.380400657653809,-5.947165489196777,100,69.0289817818807,-3.740415573120117,-4.5418901443481445,100,72.95828135319306,-4.233112335205078,-5.225619316101074,100,69.61431401736837,-4.352369785308838,-5.181368350982666,100,63.644524516991886,-5.86216926574707,-6.42213773727417,100,79.28515436972725,-5.034477710723877,-6.376677989959717,100,75.91626384929874,-4.254024505615234,-5.402118682861328,100,74.22350147035026,-5.013132095336914,-6.070749759674072,100,70.61930084477012,-5.168431282043457,-6.04539680480957,0,24.72326893194144,-5.21619176864624,-4.1027655601501465,100,74.04748533956383,-4.876887321472168,-5.925325393676758,100,71.98542862727227,-4.8236083984375,-5.76734733581543,100,68.15628704705921,-5.123828411102295,-5.884791851043701,100,68.05146320902098,-4.113718032836914,-4.869855880737305
1,1,1,1,1,1,1,1,1,1,1,1,1,HumphreysBock_0_CPC,CPC,The crowd outside the subway cars,are,is,100,62.431948071488144,-6.100697040557861,-6.6086201667785645,0,48.526951896039705,-6.126364707946777,-6.067425727844238,100,64.96420045145804,-4.113422870635986,-4.730888843536377,0,36.53637990940848,-4.701473712921143,-4.149315357208252,100,81.05950456580277,-4.584025859832764,-6.037907123565674,100,59.226455768248655,-6.338003158569336,-6.711338043212891,100,66.86554845680413,-6.834390640258789,-7.536500930786133,100,51.60141035875425,-6.30145788192749,-6.365536212921143,100,56.093837583814896,-7.278316497802734,-7.523287773132324,100,81.70249414208024,-4.763167858123779,-6.259487628936768,100,69.82750045370753,-5.514005661010742,-6.353102684020996,100,78.08125274524281,-5.6154866218566895,-6.885894298553467,100,57.943410743552256,-6.875504970550537,-7.195955753326416,100,76.12224587296372,-6.256158351898193,-7.415551662445068,100,85.56167380187804,-6.000724792480469,-7.780076026916504,100,69.54598564867207,-3.8567376136779785,-4.682507991790772,100,81.9425033008788,-4.067333221435547,-5.579790115356445,100,77.3766704466648,-2.905860185623169,-4.135563850402832,100,73.80067132635195,-4.244596481323242,-5.280230522155762,100,72.65427198390162,-3.926613330841065,-4.903765201568604,100,67.80310785828247,-4.805601596832275,-5.550339698791504,100,83.00098304809437,-3.766143083572388,-5.351840019226074,100,86.40229799475502,-3.299009323120117,-5.148122787475586,100,81.9531830876237,-3.757563591003418,-5.270742416381836,100,69.10974393017568,-4.26513671875,-5.070391654968262,0,22.674350230024036,-5.027223110198975,-3.800431728363037,100,70.30824211304557,-5.110993385314941,-5.973012924194336,100,75.10857048479623,-5.18165397644043,-6.286065101623535,100,64.77616626018371,-5.587364196777344,-6.196578979492188,100,72.32700543233136,-4.1991777420043945,-5.159918308258057
2,2,2,2,2,2,2,2,2,2,2,2,2,HumphreysBock_0_CSC,CSC,The crowd outside the subway car,are,is,0,5.27817805172792,-8.518048286437988,-5.630684852600098,0,10.588795841711685,-7.182663917541504,-5.0492143630981445,0,6.5958826910134025,-6.361053466796875,-3.7105636596679688,0,15.430343737897063,-6.099256992340088,-4.398017406463623,0,10.355701893546216,-7.392054557800293,-5.2337422370910645,0,16.371828398857218,-7.527420520782471,-5.896602153778076,0,20.733443719801265,-7.877626419067383,-6.536558151245117,0,12.03312655084583,-7.489298343658447,-5.500001430511475,0,20.22166279561635,-8.44950008392334,-7.07700252532959,0,32.295289452828044,-6.349000453948975,-5.608766078948975,0,35.32240241221788,-6.752406120300293,-6.14750862121582,0,32.947072231051365,-6.229923248291016,-5.519343376159668,0,30.11044946438868,-7.624685287475586,-6.782641410827637,0,14.853308987392776,-8.083112716674805,-6.336959838867188,0,30.907930657258675,-7.155514240264893,-6.351087093353272,0,7.94823711171068,-6.05873441696167,-3.609333515167236,0,21.61068380307808,-5.732422828674316,-4.443922996520996,0,6.872145000259046,-6.113611221313477,-3.5071141719818115,0,6.810312768767098,-6.394536018371582,-3.778337001800537,0,14.409144701627852,-5.3605828285217285,-3.5788674354553223,0,21.57223383879376,-6.396829128265381,-5.106058120727539,0,16.827693727917506,-5.961270332336426,-4.363381862640381,0,16.690816802096304,-5.423025131225586,-3.8153250217437744,0,26.8109719673862,-5.055449962615967,-4.051215648651123,0,10.55835716946098,-6.513545989990234,-4.376877307891846,0,9.988787164138435,-6.28532600402832,-4.086854934692383,0,13.991912628017184,-7.242560386657715,-5.42659854888916,0,22.38123135506459,-6.53148078918457,-5.287894248962402,0,25.506758517144533,-6.451435089111328,-5.379670143127441,0,28.49468027736533,-5.538370132446289,-4.618315696716309
3,3,3,3,3,3,3,3,3,3,3,3,3,HumphreysBock_0_PPD,PPD,The commuters inside the subway cars,are,is,100,89.10475462644668,-5.057407855987549,-7.158894062042236,100,70.09395920402613,-5.104127883911133,-5.955904006958008,100,80.75587790410927,-3.8786349296569824,-5.312860012054443,0,49.54551518018212,-3.8239922523498535,-3.805812358856201,100,95.46799448670956,-3.365389823913574,-6.413016319274902,100,79.17033005160647,-6.120784282684326,-7.456007480621338,100,96.565791840818,-4.621076583862305,-7.957514762878418,100,82.96010927399632,-5.42664098739624,-7.009443759918213,100,82.85806918488984,-6.111979961395264,-7.687581539154053,100,91.7709908436813,-3.7848172187805176,-6.196447849273682,100,97.57481180000616,-4.241127014160156,-7.935837268829346,100,86.46935135441217,-5.511569023132324,-7.366401672363281,100,90.61340607805714,-4.594479560852051,-6.861799240112305,100,97.06200325453148,-4.345582962036133,-7.843204975128174,100,90.75517437411608,-5.372282028198242,-7.656383514404297,100,93.87362382163144,-3.3749687671661377,-6.104314804077148,100,92.0331827924752,-3.699131488800049,-6.145995616912842,100,97.00347769274458,-1.873623371124268,-5.350917816162109,100,93.9389999107382,-2.552206516265869,-5.292977333068848,100,85.34183189144262,-3.7583096027374254,-5.519976615905762,100,78.68862640404035,-4.941174983978272,-6.247432708740234,100,96.3807598805875,-2.3365445137023926,-5.618587017059326,100,89.81879921182103,-2.591348171234131,-4.768599510192871,100,87.32597715226902,-3.475080728530884,-5.405174255371094,100,95.32378375351604,-3.8273401260375977,-6.842130184173584,100,98.94945813851773,-2.8791964054107666,-7.42449951171875,100,91.17525761751058,-4.073752880096436,-6.408977031707764,100,88.86315373247473,-4.030797481536865,-6.107635974884033,100,89.83813045947748,-4.64240837097168,-6.821775436401367,100,94.07420791907298,-3.473843097686768,-6.238612651824951
4,4,4,4,4,4,4,4,4,4,4,4,4,HumphreysBock_0_PPC,PPC,The commuters outside the subway cars,are,is,100,79.40643549019248,-6.301837921142578,-7.65143871307373,100,72.80481513977034,-5.097211837768555,-6.081954002380371,100,89.07694820518786,-3.570869445800781,-5.66949462890625,100,71.53179720195527,-4.065329074859619,-4.986683368682861,100,96.54571276399857,-3.0451560020446777,-6.375556468963623,100,86.59541639315219,-6.027926445007324,-7.893576622009277,100,96.29741572346856,-4.902790069580078,-8.161200523376465,100,84.45171057711269,-5.338855266571045,-7.031084537506104,100,85.52609299333326,-5.435455799102783,-7.211929798126221,100,91.81529659831013,-4.179915904998779,-6.597427845001221,100,97.26051076205066,-4.365342140197754,-7.934963703155518,100,87.33548678995867,-5.27628231048584,-7.207235336303711,100,91.59590213832114,-4.491333961486816,-6.880001068115234,100,96.5389192045174,-4.43220853805542,-7.760573863983154,100,91.96619101295114,-5.547057628631592,-7.9848198890686035,100,94.98687834996493,-3.2458534240722656,-6.187533378601074,100,92.32088512150372,-3.5308096408843994,-6.017575740814209,100,97.17026408145551,-1.6617062091827393,-5.19798755645752,100,92.6865861721393,-2.457903861999512,-4.997417449951172,100,84.9460661560076,-3.659836769104004,-5.390213966369629,100,83.55787469825047,-3.5099925994873047,-5.135685443878174,100,96.13198718876536,-1.9246811866760247,-5.137662410736084,100,94.29928358514336,-1.8567664623260496,-4.6626482009887695,100,93.6205709499429,-2.4433722496032715,-5.129543781280518,100,97.43809259158417,-2.213921308517456,-5.852386474609375,100,98.87975190344542,-2.7773032188415527,-7.257657527923584,100,86.42641435762037,-4.156599998474121,-6.007767677307129,100,89.67670471870571,-4.284276962280273,-6.446084976196289,100,89.95077210503936,-4.617709159851074,-6.809475898742676,100,91.80758193994694,-3.384842872619629,-5.801328659057617
5,5,5,5,5,5,5,5,5,5,5,5,5,HumphreysBock_0_PSC,PSC,The commuters outside the subway car,are,is,0,13.42473275552666,-7.588604927062988,-5.724689483642578,100,57.19279474490649,-5.552676677703857,-5.842398166656494,0,31.278824444282176,-6.32558536529541,-5.538469314575195,100,58.90119551595079,-4.65091609954834,-5.010798454284668,0,15.338401923892468,-6.662265300750732,-4.953962802886963,100,52.88368766874444,-6.757540702819824,-6.873016357421875,100,76.13368459946057,-5.675048351287842,-6.835071086883545,100,63.18882779420403,-5.4579267501831055,-5.998252868652344,100,58.48654556618845,-6.657207489013672,-6.99998664855957,100,66.4339801845031,-4.930422782897949,-5.613117218017578,100,85.68310170411539,-5.693797111511231,-7.483012199401855,100,57.8393993943254,-5.968997955322266,-6.285181999206543,100,74.77550270597676,-5.301479339599609,-6.388154029846191,100,69.71415770435378,-5.718873500823975,-6.552596569061279,0,45.67604417313584,-6.400678634643555,-6.227287292480469,0,38.30233760774841,-5.427454948425293,-4.950719833374023,0,44.69380839998741,-5.005519390106201,-4.792469501495361,0,46.27672708761688,-3.915793895721436,-3.766586780548096,100,71.31978278520019,-3.212532758712769,-4.123498916625977,0,39.43155170366494,-4.773354530334473,-4.344146728515625,100,55.719621185336834,-4.85835075378418,-5.088141441345215,100,58.2132901596512,-3.497012138366699,-3.828547477722168,0,45.87088401185101,-3.487752914428711,-3.322211265563965,100,66.83917397086675,-3.328343391418457,-4.029263496398926,100,79.11338837884651,-3.7273921966552734,-5.059165954589844,100,95.8777502362948,-3.3279364109039307,-6.474611282348633,0,47.14962871106632,-5.966475486755371,-5.852336883544922,100,55.15220727492141,-5.247595310211182,-5.454417705535889,100,75.8345492911293,-4.844851016998291,-5.988481044769287,100,80.82908645570694,-3.8317854404449454,-5.27072811126709
6,6,6,6,6,6,6,6,6,6,6,6,6,HumphreysBock_1_CPD,CPD,The jury in the folding chairs,are,is,100,71.94363730110219,-5.906207084655762,-6.847874641418457,100,90.25829395270262,-4.083463668823242,-6.309722900390625,100,73.83858378853763,-5.79840612411499,-6.836001873016357,100,57.53608519080841,-6.878885269165039,-7.182642936706543,100,84.28969944458554,-4.5539870262146,-6.2339301109313965,0,48.33885791643644,-6.564473628997803,-6.498003482818604,100,77.77371962381106,-5.332871437072754,-6.585399627685547,100,73.41757391493547,-5.059487342834473,-6.075400352478027,0,37.01380104192232,-6.881717205047607,-6.35009241104126,100,70.53685910793313,-5.316943645477295,-6.189939022064209,100,68.06750938696447,-5.230396270751953,-5.987272262573242,100,82.71068240434519,-5.595917701721191,-7.161177635192871,100,73.48825832264191,-7.056634902954102,-8.076172828674316,100,82.32654111597991,-5.455302238464356,-6.993931770324707,100,84.3851125820181,-5.992198944091797,-7.679365158081055,0,49.81021972240725,-5.821842670440674,-5.81425142288208,0,32.765611535990175,-5.255059242248535,-4.536253929138184,100,79.00505859492846,-2.486379623413086,-3.811609983444214,100,72.80234150330789,-4.742544174194336,-5.727161407470703,100,56.33645887601219,-5.222064018249512,-5.476892471313477,0,48.47742915781264,-6.603084564208984,-6.542162895202637,100,50.54619523703153,-6.291550159454346,-6.313398838043213,0,21.978150356254105,-6.298357009887695,-5.031416893005371,0,24.551535811524456,-6.392295837402344,-5.269620418548584,0,39.31397160315935,-6.67484188079834,-6.240708351135254,0,9.121310479078353,-5.686468124389648,-3.3875560760498047,100,77.04975044908497,-4.350832939147949,-5.561955451965332,100,64.97401107547938,-5.690842628479004,-6.30873966217041,100,58.28467796334699,-5.1327104568481445,-5.467181205749512,100,79.4199336435324,-3.9718868732452393,-5.32231330871582
7,7,7,7,7,7,7,7,7,7,7,7,7,HumphreysBock_1_CPC,CPC,The jury near the folding chairs,are,is,100,71.10811052528196,-5.085433006286621,-5.98607349395752,100,81.55419991327663,-4.092001914978027,-5.578433036804199,100,64.88666946105643,-5.326284408569336,-5.940345764160156,100,77.62633897355354,-4.600587368011475,-5.84460973739624,100,93.60110934323288,-4.468526840209961,-7.151444435119629,0,32.7995083794496,-7.261355876922607,-6.544088840484619,100,69.17627883552895,-5.445095062255859,-6.2534685134887695,100,74.43559337753321,-5.109129428863525,-6.177862644195557,100,55.83928420693282,-6.879919052124023,-7.114561080932617,100,69.23940317771728,-5.951570510864258,-6.762906074523926,100,71.35524818531844,-5.2506937980651855,-6.163394451141357,100,80.89902470053725,-5.230145454406738,-6.67360782623291,100,74.72719240694559,-7.425677299499512,-8.50979232788086,100,87.84730603851503,-5.810458183288574,-7.788507461547852,100,92.43519818736448,-5.917816638946533,-8.420818328857422,0,48.36556751910667,-5.971708297729492,-5.906307697296143,0,46.39355291115989,-5.284892559051514,-5.140383720397949,100,84.96068860071382,-2.580533504486084,-4.312054634094238,100,60.286432258368606,-5.300464153289795,-5.717878341674805,100,60.25611781442473,-4.5037841796875,-4.9199323654174805,100,56.14787556203662,-6.952435493469238,-7.199601173400879,0,48.12894255534232,-7.294577121734619,-7.219699859619141,0,34.77681015585509,-6.949821472167969,-6.320957183837891,0,31.167324111588808,-7.404886245727539,-6.61257791519165,100,67.59050039887993,-6.403323173522949,-7.138339042663574,0,8.675348634659192,-5.926226615905762,-3.572291374206543,100,72.61933793565815,-4.146923065185547,-5.122317314147949,100,84.25921495809678,-4.823768615722656,-6.501411437988281,100,70.02856694908138,-5.363685607910156,-6.212344169616699,100,71.98410158719987,-4.302355766296387,-5.246028900146484
8,8,8,8,8,8,8,8,8,8,8,8,8,HumphreysBock_1_CSC,CSC,The jury near the folding chair,are,is,0,40.26801885191056,-5.848168849945068,-5.453858852386475,0,22.66191232495613,-7.1929192543029785,-5.965418338775635,0,26.26959333345719,-4.513699531555176,-3.481696367263794,0,5.367317324700969,-6.993230819702148,-4.123556137084961,0,17.671377593599427,-6.866452693939209,-5.3276801109313965,0,8.913225385100256,-8.670980453491211,-6.346704006195068,0,18.00409070503947,-6.842044830322266,-5.325974464416504,0,15.713003289076427,-6.68427038192749,-5.004531383514404,0,11.699617823741598,-8.526751518249512,-6.505563259124756,0,14.499839361586394,-7.608473777770996,-5.83409309387207,0,27.77944938310016,-6.1312336921691895,-5.175805568695068,0,19.915934849799285,-6.903951168060303,-5.512394428253174,0,25.326869095679672,-8.673606872558594,-7.592352390289307,0,21.597132259385432,-7.732423782348633,-6.443123817443848,0,19.715733675237583,-7.750674247741699,-6.346517562866211,0,11.444181477470934,-6.815329074859619,-4.769177436828613,0,12.13032315710242,-6.173707962036133,-4.193561553955078,0,7.5182768204133374,-6.287506580352783,-3.777832508087158,0,6.838334674003561,-7.315554141998291,-4.703762054443359,0,20.503104779873272,-6.422248840332031,-5.067107200622559,0,15.918306906574845,-7.998637676239014,-6.3343186378479,0,16.433977332991336,-8.629435539245605,-7.003149509429932,0,7.263927600622662,-7.674994468688965,-5.128157615661621,0,9.814244419932734,-8.087451934814453,-5.869415283203125,0,20.09621937643261,-7.249798774719238,-5.869507312774658,0,0.9670698203417533,-8.04343032836914,-3.4144933223724365,0,13.499815684608308,-6.369032382965088,-4.511561870574951,0,21.079660775059462,-6.546848297119141,-5.226717948913574,0,12.6003506858324,-6.58737325668335,-4.650606632232666,0,24.33913872995408,-5.524568557739258,-4.390393257141113
9,9,9,9,9,9,9,9,9,9,9,9,9,HumphreysBock_1_PPD,PPD,The jurors in the folding chairs,are,is,100,57.74290467808713,-5.490360260009766,-5.80258846282959,100,85.89422011400536,-4.654156684875488,-6.460688591003418,100,89.8054701536334,-5.4592132568359375,-7.635007858276367,100,74.66222644781101,-5.207207202911377,-6.2878851890563965,100,92.11913392105129,-3.8761777877807617,-6.334822654724121,100,74.26902609950776,-6.095105648040772,-7.155104160308838,100,94.54265125409836,-4.631649971008301,-7.483737945556641,100,86.57634236367053,-4.425366401672363,-6.289374351501465,100,79.55299953270647,-5.367351055145264,-6.725938320159912,100,84.66792531454851,-4.414914608001709,-6.123704433441162,100,97.6036425756651,-4.067737579345703,-7.774702548980713,100,83.25335024227459,-5.454302787780762,-7.057992935180664,100,95.92991904385372,-6.230877876281738,-9.390832901000977,100,94.6069177541065,-4.47416877746582,-7.33878231048584,100,90.26552393972246,-5.841044902801514,-8.068126678466797,100,87.53026296113615,-4.13007116317749,-6.078751087188721,100,75.37286528500162,-5.067234516143799,-6.185832977294922,100,98.29479044996742,-1.4612418413162231,-5.515524864196777,100,92.05624132276412,-2.745516777038574,-5.195529937744141,100,85.80762703568419,-3.9073095321655273,-5.70671272277832,100,73.89039106723465,-4.388491153717041,-5.428770542144775,100,90.40234663840566,-2.9037623405456543,-5.146513938903809,100,51.79737811577344,-3.978657722473145,-4.050583839416504,0,44.37338880971463,-4.813403129577637,-4.587381362915039,100,94.9032616500151,-2.357234477996826,-5.281491756439209,100,99.39644026069186,-3.6212494373321533,-8.725275993347168,100,96.3729974463214,-3.481654644012451,-6.761474132537842,100,93.24702456018954,-4.538042545318604,-7.16331148147583,100,77.1073405246013,-4.674892902374268,-5.889275074005127,100,86.36439369623467,-3.785907745361328,-5.63179874420166
