item,condition,sentence,target,alternative
HumphreysBock_0_CPD,CPD,The crowd inside the subway cars,are,is
HumphreysBock_0_CPC,CPC,The crowd outside the subway cars,are,is
HumphreysBock_0_CSC,CSC,The crowd outside the subway car,are,is
HumphreysBock_0_PPD,PPD,The commuters inside the subway cars,are,is
HumphreysBock_0_PPC,PPC,The commuters outside the subway cars,are,is
HumphreysBock_0_PSC,PSC,The commuters outside the subway car,are,is
HumphreysBock_1_CPD,CPD,The jury in the folding chairs,are,is
HumphreysBock_1_CPC,CPC,The jury near the folding chairs,are,is
HumphreysBock_1_CSC,CSC,The jury near the folding chair,are,is
HumphreysBock_1_PPD,PPD,The jurors in the folding chairs,are,is
HumphreysBock_1_PPC,PPC,The jurors near the folding chairs,are,is
HumphreysBock_1_PSC,PSC,The jurors near the folding chair,are,is
HumphreysBock_2_CPD,CPD,The crew in the lifeboats,are,is
HumphreysBock_2_CPC,CPC,The crew for the lifeboats,are,is
HumphreysBock_2_CSC,CSC,The crew for the lifeboat,are,is
HumphreysBock_2_PPD,PPD,The sailors in the lifeboats,are,is
HumphreysBock_2_PPC,PPC,The sailors for the lifeboats,are,is
HumphreysBock_2_PSC,PSC,The sailors for the lifeboat,are,is
HumphreysBock_3_CPD,CPD,The clan in the ancient castles,are,is
HumphreysBock_3_CPC,CPC,The clan with the ancient castles,are,is
HumphreysBock_3_CSC,CSC,The clan with the ancient castle,are,is
HumphreysBock_3_PPD,PPD,The princes in the ancient castles,are,is
HumphreysBock_3_PPC,PPC,The princes with the ancient castles,are,is
HumphreysBock_3_PSC,PSC,The princes with the ancient castle,are,is
HumphreysBock_4_CPD,CPD,The gang on the motorcycles,are,is
HumphreysBock_4_CPC,CPC,The gang near the motorcycles,are,is
HumphreysBock_4_CSC,CSC,The gang near the motorcycle,are,is
HumphreysBock_4_PPD,PPD,The delinquents on the motorcycles,are,is
HumphreysBock_4_PPC,PPC,The delinquents near the motorcycles,are,is
HumphreysBock_4_PSC,PSC,The delinquents near the motorcycle,are,is
HumphreysBock_5_CPD,CPD,The hired help in the mansions,are,is
HumphreysBock_5_CPC,CPC,The hired help from the mansions,are,is
