sent=1 sample=0 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=1 ||| proposal=-2.94047 ||| joint=-125.888
sent=1 sample=2 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=3 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=4 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=5 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=6 ||| proposal=-3.26395 ||| joint=-111.465
sent=1 sample=7 ||| proposal=-3.26395 ||| joint=-111.465
sent=1 sample=8 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=9 ||| proposal=-4.291 ||| joint=-131.083
sent=1 sample=10 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=11 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=12 ||| proposal=-3.68515 ||| joint=-133.098
sent=1 sample=13 ||| proposal=-10.1811 ||| joint=-126.949
sent=1 sample=14 ||| proposal=-2.4414 ||| joint=-120.268
sent=1 sample=15 ||| proposal=-6.10879 ||| joint=-111.922
sent=1 sample=16 ||| proposal=-8.80461 ||| joint=-146.696
sent=1 sample=17 ||| proposal=-4.291 ||| joint=-131.083
sent=1 sample=18 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=19 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=20 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=21 ||| proposal=-3.26395 ||| joint=-111.465
sent=1 sample=22 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=23 ||| proposal=-2.4414 ||| joint=-120.268
sent=1 sample=24 ||| proposal=-4.19375 ||| joint=-113.336
sent=1 sample=25 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=26 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=27 ||| proposal=-6.76944 ||| joint=-120.854
sent=1 sample=28 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=29 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=30 ||| proposal=-4.26624 ||| joint=-124.436
sent=1 sample=31 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=32 ||| proposal=-4.66319 ||| joint=-130.608
sent=1 sample=33 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=34 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=35 ||| proposal=-5.41962 ||| joint=-120.672
sent=1 sample=36 ||| proposal=-2.4414 ||| joint=-120.268
sent=1 sample=37 ||| proposal=-1.6389 ||| joint=-114.404
sent=1 sample=38 ||| proposal=-7.85668 ||| joint=-130.109
sent=1 sample=39 ||| proposal=-2.4414 ||| joint=-120.268
sent=1 sample=40 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=41 ||| proposal=-1.1349 ||| joint=-109.11
sent=1 sample=42 ||| proposal=-3.26395 ||| joint=-111.465
