sent=1 sample=0 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=1 ||| proposal=-3.71923 ||| joint=-139.288
sent=1 sample=2 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=3 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=4 ||| proposal=-2.386 ||| joint=-151.175
sent=1 sample=5 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=6 ||| proposal=-4.38948 ||| joint=-146.224
sent=1 sample=7 ||| proposal=-2.96851 ||| joint=-143.663
sent=1 sample=8 ||| proposal=-3.71923 ||| joint=-139.288
sent=1 sample=9 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=10 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=11 ||| proposal=-5.30108 ||| joint=-147.226
sent=1 sample=12 ||| proposal=-5.95466 ||| joint=-155.585
sent=1 sample=13 ||| proposal=-4.00612 ||| joint=-139.282
sent=1 sample=14 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=15 ||| proposal=-4.38948 ||| joint=-146.224
sent=1 sample=16 ||| proposal=-4.80795 ||| joint=-147.286
sent=1 sample=17 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=18 ||| proposal=-11.3036 ||| joint=-157.561
sent=1 sample=19 ||| proposal=-7.85645 ||| joint=-131.597
sent=1 sample=20 ||| proposal=-2.31692 ||| joint=-152.842
sent=1 sample=21 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=22 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=23 ||| proposal=-2.94969 ||| joint=-143.145
sent=1 sample=24 ||| proposal=-2.31692 ||| joint=-152.842
sent=1 sample=25 ||| proposal=-2.386 ||| joint=-151.175
sent=1 sample=26 ||| proposal=-4.00612 ||| joint=-139.282
sent=1 sample=27 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=28 ||| proposal=-2.96851 ||| joint=-143.663
sent=1 sample=29 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=30 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=31 ||| proposal=-4.3821 ||| joint=-155.049
sent=1 sample=32 ||| proposal=-5.71909 ||| joint=-154.203
sent=1 sample=33 ||| proposal=-2.96851 ||| joint=-143.663
sent=1 sample=34 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=35 ||| proposal=-5.30108 ||| joint=-147.226
sent=1 sample=36 ||| proposal=-3.83862 ||| joint=-155.032
sent=1 sample=37 ||| proposal=-2.386 ||| joint=-151.175
sent=1 sample=38 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=39 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=40 ||| proposal=-3.83862 ||| joint=-155.032
sent=1 sample=41 ||| proposal=-4.00612 ||| joint=-139.282
sent=1 sample=42 ||| proposal=-2.386 ||| joint=-151.175
sent=1 sample=43 ||| proposal=-9.15538 ||| joint=-145.77
sent=1 sample=44 ||| proposal=-4.05343 ||| joint=-157.044
sent=1 sample=45 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=46 ||| proposal=-2.31692 ||| joint=-152.842
sent=1 sample=47 ||| proposal=-2.96851 ||| joint=-143.663
sent=1 sample=48 ||| proposal=-4.54254 ||| joint=-145.322
sent=1 sample=49 ||| proposal=-3.71923 ||| joint=-139.288
sent=1 sample=50 ||| proposal=-2.94969 ||| joint=-143.145
sent=1 sample=51 ||| proposal=-6.66621 ||| joint=-158.294
sent=1 sample=52 ||| proposal=-5.72096 ||| joint=-152.797
sent=1 sample=53 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=54 ||| proposal=-4.80795 ||| joint=-147.286
sent=1 sample=55 ||| proposal=-6.62316 ||| joint=-147.747
sent=1 sample=56 ||| proposal=-8.29178 ||| joint=-144.87
sent=1 sample=57 ||| proposal=-2.94969 ||| joint=-143.145
sent=1 sample=58 ||| proposal=-2.94969 ||| joint=-143.145
sent=1 sample=59 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=60 ||| proposal=-5.1856 ||| joint=-148.277
sent=1 sample=61 ||| proposal=-13.73 ||| joint=-150.054
sent=1 sample=62 ||| proposal=-2.386 ||| joint=-151.175
sent=1 sample=63 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=64 ||| proposal=-2.96851 ||| joint=-143.663
sent=1 sample=65 ||| proposal=-2.386 ||| joint=-151.175
sent=1 sample=66 ||| proposal=-2.31692 ||| joint=-152.842
sent=1 sample=67 ||| proposal=-5.92855 ||| joint=-157.499
sent=1 sample=68 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=69 ||| proposal=-2.386 ||| joint=-151.175
sent=1 sample=70 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=71 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=72 ||| proposal=-5.38332 ||| joint=-149.117
sent=1 sample=73 ||| proposal=-4.54254 ||| joint=-145.322
sent=1 sample=74 ||| proposal=-4.54254 ||| joint=-145.322
sent=1 sample=75 ||| proposal=-7.40176 ||| joint=-140.743
sent=1 sample=76 ||| proposal=-3.83862 ||| joint=-155.032
sent=1 sample=77 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=78 ||| proposal=-3.83862 ||| joint=-155.032
sent=1 sample=79 ||| proposal=-9.43103 ||| joint=-154.054
sent=1 sample=80 ||| proposal=-2.94969 ||| joint=-143.145
sent=1 sample=81 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=82 ||| proposal=-3.22977 ||| joint=-145.035
sent=1 sample=83 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=84 ||| proposal=-4.38948 ||| joint=-146.224
sent=1 sample=85 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=86 ||| proposal=-5.82848 ||| joint=-148.561
sent=1 sample=87 ||| proposal=-2.31692 ||| joint=-152.842
sent=1 sample=88 ||| proposal=-5.8399 ||| joint=-151.173
sent=1 sample=89 ||| proposal=-3.83862 ||| joint=-155.032
sent=1 sample=90 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=91 ||| proposal=-2.94969 ||| joint=-143.145
sent=1 sample=92 ||| proposal=-8.34464 ||| joint=-153.131
sent=1 sample=93 ||| proposal=-2.386 ||| joint=-151.175
sent=1 sample=94 ||| proposal=-2.31692 ||| joint=-152.842
sent=1 sample=95 ||| proposal=-1.66629 ||| joint=-141.506
sent=1 sample=96 ||| proposal=-2.10921 ||| joint=-137.006
sent=1 sample=97 ||| proposal=-6.86999 ||| joint=-162.676
sent=1 sample=98 ||| proposal=-2.31692 ||| joint=-152.842
sent=1 sample=99 ||| proposal=-2.10921 ||| joint=-137.006
prob: -128.345432586614 (len=16)
sent=2 sample=0 ||| proposal=-3.20442 ||| joint=-149.175
sent=2 sample=1 ||| proposal=-2.72613 ||| joint=-140.88
sent=2 sample=2 ||| proposal=-2.72613 ||| joint=-140.88
sent=2 sample=3 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=4 ||| proposal=-3.22173 ||| joint=-140.158
sent=2 sample=5 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=6 ||| proposal=-2.72613 ||| joint=-140.88
sent=2 sample=7 ||| proposal=-11.7292 ||| joint=-146.172
sent=2 sample=8 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=9 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=10 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=11 ||| proposal=-2.72613 ||| joint=-140.88
sent=2 sample=12 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=13 ||| proposal=-3.22173 ||| joint=-140.158
sent=2 sample=14 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=15 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=16 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=17 ||| proposal=-7.3357 ||| joint=-139.759
sent=2 sample=18 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=19 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=20 ||| proposal=-4.23504 ||| joint=-138.747
sent=2 sample=21 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=22 ||| proposal=-6.82989 ||| joint=-145.879
sent=2 sample=23 ||| proposal=-5.91051 ||| joint=-146.316
sent=2 sample=24 ||| proposal=-6.89221 ||| joint=-153.479
sent=2 sample=25 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=26 ||| proposal=-10.0341 ||| joint=-146.582
sent=2 sample=27 ||| proposal=-5.25729 ||| joint=-142.323
sent=2 sample=28 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=29 ||| proposal=-2.72613 ||| joint=-140.88
sent=2 sample=30 ||| proposal=-5.91051 ||| joint=-146.316
sent=2 sample=31 ||| proposal=-5.99655 ||| joint=-141.327
sent=2 sample=32 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=33 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=34 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=35 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=36 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=37 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=38 ||| proposal=-4.29681 ||| joint=-141.134
sent=2 sample=39 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=40 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=41 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=42 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=43 ||| proposal=-4.23504 ||| joint=-138.747
sent=2 sample=44 ||| proposal=-10.7074 ||| joint=-149.762
sent=2 sample=45 ||| proposal=-6.56007 ||| joint=-141.723
sent=2 sample=46 ||| proposal=-4.67382 ||| joint=-137.321
sent=2 sample=47 ||| proposal=-5.63668 ||| joint=-155.276
sent=2 sample=48 ||| proposal=-10.0458 ||| joint=-142.695
sent=2 sample=49 ||| proposal=-4.67382 ||| joint=-137.321
sent=2 sample=50 ||| proposal=-5.26862 ||| joint=-151.392
sent=2 sample=51 ||| proposal=-12.767 ||| joint=-152.134
sent=2 sample=52 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=53 ||| proposal=-5.63668 ||| joint=-155.276
sent=2 sample=54 ||| proposal=-6.76393 ||| joint=-139.059
sent=2 sample=55 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=56 ||| proposal=-8.08774 ||| joint=-156.346
sent=2 sample=57 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=58 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=59 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=60 ||| proposal=-6.22861 ||| joint=-156.351
sent=2 sample=61 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=62 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=63 ||| proposal=-3.20442 ||| joint=-149.175
sent=2 sample=64 ||| proposal=-3.22173 ||| joint=-140.158
sent=2 sample=65 ||| proposal=-8.20159 ||| joint=-150.316
sent=2 sample=66 ||| proposal=-5.05259 ||| joint=-142.852
sent=2 sample=67 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=68 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=69 ||| proposal=-6.56007 ||| joint=-141.723
sent=2 sample=70 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=71 ||| proposal=-6.22861 ||| joint=-156.351
sent=2 sample=72 ||| proposal=-5.28195 ||| joint=-149.137
sent=2 sample=73 ||| proposal=-4.80633 ||| joint=-146.286
sent=2 sample=74 ||| proposal=-8.50172 ||| joint=-144.851
sent=2 sample=75 ||| proposal=-4.29681 ||| joint=-141.134
sent=2 sample=76 ||| proposal=-6.22861 ||| joint=-156.351
sent=2 sample=77 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=78 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=79 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=80 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=81 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=82 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=83 ||| proposal=-3.20442 ||| joint=-149.175
sent=2 sample=84 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=85 ||| proposal=-5.72402 ||| joint=-143.551
sent=2 sample=86 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=87 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=88 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=89 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=90 ||| proposal=-3.22173 ||| joint=-140.158
sent=2 sample=91 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=92 ||| proposal=-5.28195 ||| joint=-149.137
sent=2 sample=93 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=94 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=95 ||| proposal=-2.3394 ||| joint=-136.464
sent=2 sample=96 ||| proposal=-4.80633 ||| joint=-146.286
sent=2 sample=97 ||| proposal=-1.0883 ||| joint=-138.583
sent=2 sample=98 ||| proposal=-1.93924 ||| joint=-147.479
sent=2 sample=99 ||| proposal=-1.0883 ||| joint=-138.583
prob: -134.952637213775 (len=16)
sent=3 sample=0 ||| proposal=-3.56133 ||| joint=-143.313
sent=3 sample=1 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=2 ||| proposal=-3.38994 ||| joint=-148.212
sent=3 sample=3 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=4 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=5 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=6 ||| proposal=-3.9513 ||| joint=-147.702
sent=3 sample=7 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=8 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=9 ||| proposal=-5.40938 ||| joint=-146.163
sent=3 sample=10 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=11 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=12 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=13 ||| proposal=-3.56133 ||| joint=-143.313
sent=3 sample=14 ||| proposal=-3.9513 ||| joint=-147.702
sent=3 sample=15 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=16 ||| proposal=-6.33073 ||| joint=-148.785
sent=3 sample=17 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=18 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=19 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=20 ||| proposal=-7.60072 ||| joint=-150.273
sent=3 sample=21 ||| proposal=-3.38994 ||| joint=-148.212
sent=3 sample=22 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=23 ||| proposal=-8.03111 ||| joint=-153.893
sent=3 sample=24 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=25 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=26 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=27 ||| proposal=-3.56133 ||| joint=-143.313
sent=3 sample=28 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=29 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=30 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=31 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=32 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=33 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=34 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=35 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=36 ||| proposal=-3.88916 ||| joint=-146.905
sent=3 sample=37 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=38 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=39 ||| proposal=-5.45517 ||| joint=-146.718
sent=3 sample=40 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=41 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=42 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=43 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=44 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=45 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=46 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=47 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=48 ||| proposal=-5.68605 ||| joint=-141.349
sent=3 sample=49 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=50 ||| proposal=-5.33375 ||| joint=-144.102
sent=3 sample=51 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=52 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=53 ||| proposal=-3.38994 ||| joint=-148.212
sent=3 sample=54 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=55 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=56 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=57 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=58 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=59 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=60 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=61 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=62 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=63 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=64 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=65 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=66 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=67 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=68 ||| proposal=-10.0847 ||| joint=-158.148
sent=3 sample=69 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=70 ||| proposal=-3.38994 ||| joint=-148.212
sent=3 sample=71 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=72 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=73 ||| proposal=-5.35722 ||| joint=-148.619
sent=3 sample=74 ||| proposal=-3.88916 ||| joint=-146.905
sent=3 sample=75 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=76 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=77 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=78 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=79 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=80 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=81 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=82 ||| proposal=-3.56133 ||| joint=-143.313
sent=3 sample=83 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=84 ||| proposal=-3.88916 ||| joint=-146.905
sent=3 sample=85 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=86 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=87 ||| proposal=-5.45517 ||| joint=-146.718
sent=3 sample=88 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=89 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=90 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=91 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=92 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=93 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=94 ||| proposal=-1.73827 ||| joint=-140.737
sent=3 sample=95 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=96 ||| proposal=-1.43282 ||| joint=-136.299
sent=3 sample=97 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=98 ||| proposal=-1.11231 ||| joint=-141.182
sent=3 sample=99 ||| proposal=-1.11231 ||| joint=-141.182
prob: -136.215030968074 (len=16)
sent=4 sample=0 ||| proposal=-6.34207 ||| joint=-148.369
sent=4 sample=1 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=2 ||| proposal=-5.47248 ||| joint=-146.341
sent=4 sample=3 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=4 ||| proposal=-8.2773 ||| joint=-146.06
sent=4 sample=5 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=6 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=7 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=8 ||| proposal=-4.44471 ||| joint=-148.468
sent=4 sample=9 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=10 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=11 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=12 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=13 ||| proposal=-3.40468 ||| joint=-147.825
sent=4 sample=14 ||| proposal=-3.24295 ||| joint=-143.242
sent=4 sample=15 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=16 ||| proposal=-5.36885 ||| joint=-141.251
sent=4 sample=17 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=18 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=19 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=20 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=21 ||| proposal=-8.82491 ||| joint=-154.945
sent=4 sample=22 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=23 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=24 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=25 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=26 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=27 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=28 ||| proposal=-4.44471 ||| joint=-148.468
sent=4 sample=29 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=30 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=31 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=32 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=33 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=34 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=35 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=36 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=37 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=38 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=39 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=40 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=41 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=42 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=43 ||| proposal=-7.76385 ||| joint=-150.841
sent=4 sample=44 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=45 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=46 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=47 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=48 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=49 ||| proposal=-3.40468 ||| joint=-147.825
sent=4 sample=50 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=51 ||| proposal=-7.89716 ||| joint=-164.299
sent=4 sample=52 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=53 ||| proposal=-5.4251 ||| joint=-145.782
sent=4 sample=54 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=55 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=56 ||| proposal=-6.31001 ||| joint=-139.224
sent=4 sample=57 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=58 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=59 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=60 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=61 ||| proposal=-7.67227 ||| joint=-143.015
sent=4 sample=62 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=63 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=64 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=65 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=66 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=67 ||| proposal=-6.34207 ||| joint=-148.369
sent=4 sample=68 ||| proposal=-8.50476 ||| joint=-148.982
sent=4 sample=69 ||| proposal=-9.16951 ||| joint=-148.701
sent=4 sample=70 ||| proposal=-1.11329 ||| joint=-136.167
sent=4 sample=71 ||| proposal=-1.1258 ||| joint=-140.757
sent=4 sample=72 ||| proposal=-4.44471 ||| joint=-148.468
sent=4 sample=73 ||| proposal=-2.22945 ||| joint=-141.486
sent=4 sample=74 ||| proposal=-1.1258 ||| joint=-140.757
